brand_name,secondary_category,review_count,avg_sentiment,avg_rating,rec_pct,neg_pct,brand_health_score
Mario Badescu,Treatments,488,0.4737,4.109,78.9,15.98,0.7678
fresh,Lip Balms & Treatments,8122,0.7071,4.32,65.4,6.05,0.7678
Clarins,Moisturizers,869,0.7219,4.362,63.9,6.1,0.7669
Herbivore,Moisturizers,4388,0.6343,4.277,68.9,11.1,0.7666
fresh,Mini Size,924,0.6218,4.004,73.6,9.96,0.766
Sol de Janeiro,Lip Balms & Treatments,1346,0.6862,4.126,68.6,6.17,0.7647
La Mer,Cleansers,279,0.6428,4.133,70.3,8.96,0.7643
Tata Harper,Cleansers,1280,0.7285,4.293,63.6,6.72,0.7627
Caudalie,Treatments,5028,0.6792,4.331,65.1,7.66,0.7626
La Mer,Mini Size,1441,0.6564,4.071,70.1,8.95,0.7622
Caudalie,Cleansers,3261,0.681,4.252,65.7,7.91,0.7603
Josie Maran,Sunscreen,788,0.7388,4.274,62.8,5.33,0.7602
La Mer,Eye Care,388,0.6317,3.959,72.2,9.79,0.7591
Isle of Paradise,Self Tanners,5598,0.621,3.865,73.6,12.63,0.7572
Algenist,Treatments,2045,0.6214,4.126,68.9,11.3,0.7549
fresh,Eye Care,1435,0.6388,4.153,67.7,8.71,0.7545
Dr. Barbara Sturm,Eye Care,260,0.6343,3.838,72.7,9.23,0.7542
COOLA,Sunscreen,1999,0.664,4.069,67.7,10.26,0.754
Farmacy,Sunscreen,300,0.5841,3.977,72.7,12.0,0.7539
Drunk Elephant,Cleansers,6068,0.6369,4.03,69.5,10.83,0.7537
Origins,Eye Care,1636,0.6635,4.257,64.7,7.82,0.7536
Isle of Paradise,Value & Gift Sets,354,0.6229,3.839,72.9,14.69,0.753
Mario Badescu,Mini Size,236,0.5614,3.953,73.7,10.59,0.7527
SEPHORA COLLECTION,Cleansers,5576,0.6257,4.143,67.9,9.95,0.7525
Mario Badescu,Moisturizers,712,0.5771,3.924,72.9,11.94,0.7503
Tatcha,Lip Balms & Treatments,1903,0.6396,3.947,69.8,8.67,0.7503
Mario Badescu,Cleansers,406,0.5229,4.005,73.9,14.29,0.7499
The INKEY List,Eye Care,3397,0.5617,3.86,74.4,11.66,0.7497
Shiseido,Eye Care,2350,0.6725,4.22,63.9,7.91,0.7494
Murad,Moisturizers,3066,0.6723,4.295,62.6,7.76,0.7491
tarte,Lip Balms & Treatments,205,0.5207,4.102,72.2,14.15,0.7488
Algenist,Moisturizers,2982,0.7137,4.429,58.4,6.17,0.7476
Tata Harper,Moisturizers,801,0.6997,4.119,63.7,9.11,0.747
Dr. Brandt Skincare,Cleansers,543,0.6291,4.309,63.7,9.94,0.7468
Kiehl's Since 1851,Value & Gift Sets,912,0.5783,3.852,72.9,11.4,0.7461
The INKEY List,Cleansers,9279,0.5824,3.865,72.3,12.43,0.7453
SK-II,Moisturizers,7479,0.6642,4.113,64.8,8.46,0.7449
Tata Harper,Eye Care,222,0.714,4.059,63.1,8.11,0.7434
Dr. Jart+,Mini Size,5029,0.6367,4.016,67.0,10.1,0.743
Origins,Moisturizers,9620,0.7612,4.366,56.1,4.54,0.7429
COOLA,Self Tanners,246,0.67,4.057,64.6,9.76,0.7418
fresh,Masks,6655,0.7369,4.364,56.8,5.3,0.7412
Drunk Elephant,Eye Care,2979,0.5785,3.896,70.6,12.66,0.7396
Biossance,Eye Care,1661,0.5942,3.943,68.9,11.68,0.7384
Tata Harper,Mini Size,437,0.6517,4.048,64.3,10.53,0.7368
